2025-06-12 21:41:09,762 INFO    MainThread:1934087 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_setup.py:_flush():67] Configure stats pid to 1934087
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_setup.py:_flush():67] Loading settings from /home/user/.config/wandb/settings
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_setup.py:_flush():67] Loading settings from /home/user/Desktop/kjy/DIFUSCO/wandb/settings
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250612_214109-cgz9wolz/logs/debug.log
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250612_214109-cgz9wolz/logs/debug-internal.log
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_init.py:init():781] calling init triggers
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-12 21:41:09,763 INFO    MainThread:1934087 [wandb_init.py:init():809] starting backend
2025-06-12 21:41:09,996 INFO    MainThread:1934087 [wandb_init.py:init():813] sending inform_init request
2025-06-12 21:41:10,033 INFO    MainThread:1934087 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-12 21:41:10,034 INFO    MainThread:1934087 [wandb_init.py:init():823] backend started and connected
2025-06-12 21:41:10,037 INFO    MainThread:1934087 [wandb_init.py:init():915] updated telemetry
2025-06-12 21:41:10,069 INFO    MainThread:1934087 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-06-12 21:41:10,149 INFO    MainThread:1934087 [wandb_init.py:init():1014] starting run threads in backend
2025-06-12 21:41:10,249 INFO    MainThread:1934087 [wandb_run.py:_console_start():2454] atexit reg
2025-06-12 21:41:10,249 INFO    MainThread:1934087 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-06-12 21:41:10,249 INFO    MainThread:1934087 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-06-12 21:41:10,249 INFO    MainThread:1934087 [wandb_run.py:_redirect():2394] Redirects installed.
2025-06-12 21:41:10,250 INFO    MainThread:1934087 [wandb_init.py:init():1056] run started, returning control to user process
2025-06-12 22:00:44,569 INFO    MsgRouterThr:1934087 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
