2025-06-15 20:58:33,104 INFO    MainThread:2000457 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_setup.py:_flush():67] Configure stats pid to 2000457
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_setup.py:_flush():67] Loading settings from /home/user/.config/wandb/settings
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_setup.py:_flush():67] Loading settings from /home/user/Desktop/kjy/DIFUSCO/wandb/settings
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250615_205833-ko76lsf3/logs/debug.log
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250615_205833-ko76lsf3/logs/debug-internal.log
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_init.py:init():781] calling init triggers
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-15 20:58:33,105 INFO    MainThread:2000457 [wandb_init.py:init():809] starting backend
2025-06-15 20:58:33,338 INFO    MainThread:2000457 [wandb_init.py:init():813] sending inform_init request
2025-06-15 20:58:33,379 INFO    MainThread:2000457 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-15 20:58:33,380 INFO    MainThread:2000457 [wandb_init.py:init():823] backend started and connected
2025-06-15 20:58:33,383 INFO    MainThread:2000457 [wandb_init.py:init():915] updated telemetry
2025-06-15 20:58:33,416 INFO    MainThread:2000457 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-06-15 20:58:33,494 INFO    MainThread:2000457 [wandb_init.py:init():1014] starting run threads in backend
2025-06-15 20:58:33,595 INFO    MainThread:2000457 [wandb_run.py:_console_start():2454] atexit reg
2025-06-15 20:58:33,595 INFO    MainThread:2000457 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-06-15 20:58:33,595 INFO    MainThread:2000457 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-06-15 20:58:33,595 INFO    MainThread:2000457 [wandb_run.py:_redirect():2394] Redirects installed.
2025-06-15 20:58:33,597 INFO    MainThread:2000457 [wandb_init.py:init():1056] run started, returning control to user process
2025-06-15 21:09:06,177 INFO    MsgRouterThr:2000457 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
